ID en AIS;Buzón de correo;Tipo de Incidente;Categoria;Cola;Origen;Jerarquía de categoría;Incidentes;Recibido;Enviado;Dias Respuesta;Cuenta asignada;Fecha de escalada;Fecha de cierre;Estado;Modo de Contacto;ID de producto;Grupo;Provincia;Localidad;Póliza;Motivo Cierre Definitivo;Productor;Cliensec;ID_CuentaCreacion
3861115;;Pedido;Daños materiales Casa Central;Daños Materiales Autos;Editor de objetos personalizados;Siniestros;170520-000124;20/05/17;;;Andrea Ojeda;'2017-05-24 00:16:29';;Pendiente;Llamada entrante;AUS1 - AUTOMOTORES;Daños Materiales Autos;BUENOS AIRES;OPEN DOOR;AUS1-00-000001/0000-01-930944;;PR-9786 - QBE SEGUROS LA BUENO S AIRES;3861115;7866984
822142;;Reclamo;SOS;Prestadores;Editor de objetos personalizados;Mala Atención;170520-000146;20/05/17;;;;'2017-05-24 00:16:32';;Pendiente;Llamada entrante;AUS1 - AUTOMOTORES;;BUENOS AIRES;GLEW;AUS1-00-000001/0000-01-969199;;PR-7907 - QBE SEGUROS LA BUENO S AIRES;822142;7866806
2989725;;Pedido;Daños materiales Casa Central;Fleet Services;Editor de objetos personalizados;Siniestros;170513-000084;13/05/17;;;;'2017-05-24 00:16:34';;Derivado;Llamada entrante;AUS1 - AUTOMOTORES;;BUENOS AIRES;OLIVOS;AUS1-00-000001/0000-01-975957;;PR-9266 - QBE SEGUROS LA BUENO S AIRES ;2989725;7866805
5891747;;Pedido;Contacto del tercero;Fleet Services;Editor de objetos personalizados;Siniestros;170513-000023;13/05/17;;;;'2017-05-24 00:16:35';;Ingresado;Llamada entrante;AUI1 - AUTOMOTORES INSTITUCIONES;;BUENOS AIRES;VILLA DOMINICO;AUI1-00-150427/0427-16-000020;;P1-45 - BALLERO CARRANZA  NESTOR ALEJANDRO;5891747;7866802
102976345;;Pedido;Contacto del tercero;Fleet Services;Editor de objetos personalizados;Siniestros;170513-000048;13/05/17;;;;'2017-05-24 00:16:36';;Ingresado;Llamada entrante;AUS1 - AUTOMOTORES;;CAPITAL FEDERAL;CIUDAD AUTONOMA BUENOS AIRES;AUS1-00-000001/0000-02-020482;;PR-346 - AMERICAN EXPRESS ARG ENTINA SA ;102976345;7866805
437743;;Pedido;Daños materiales Casa Central;Fleet Services;Editor de objetos personalizados;Siniestros;170514-000007;14/05/17;;;;'2017-05-24 00:16:36';;Derivado;Llamada entrante;AUS1 - AUTOMOTORES;;BUENOS AIRES;REMEDIOS DE ESCALADA;AUS1-00-000001/0000-01-985079;;PR-8161 - HSBC BANK ARGENTINA S.A.;437743;53539
4869283;;Consulta;Suscripción Web Services;Cac;Editor de objetos personalizados;Documentación;170524-000002;24/05/17;;;;;'2017-05-24 01:26:24';Atendido;Llamada entrante;AUS1 - AUTOMOTORES;;CAPITAL FEDERAL;CIUDAD AUTONOMA BUENOS AIRES;AUS1-00-000001/0000-02-014489;;PR-0245 - QBE SEGUROS LA BUENO S AIRES;4869283;7870554
5647547;;Consulta;Post - Denuncia;Cac;Editor de objetos personalizados;Siniestros;170524-000003;24/05/17;;;;;'2017-05-24 01:33:22';Atendido;Llamada entrante;APR1 - AUTOMOTORES;;BUENOS AIRES;WILDE;APR1-00-006857/6857-13-005013;;PR-7933 - HSBC BANK ARGENTINA SA ;5647547;7870554
5647547;;Consulta;Suscripción Web Services;Cac;Editor de objetos personalizados;Documentación;170524-000004;24/05/17;;;;;'2017-05-24 01:35:49';Atendido;Llamada entrante;APR1 - AUTOMOTORES;;BUENOS AIRES;WILDE;APR1-00-006857/6857-13-005013;;PR-7933 - HSBC BANK ARGENTINA SA ;5647547;7870554
500683;;Consulta;Suscripción Web Services;Cac;Editor de objetos personalizados;Documentación;170524-000006;24/05/17;;;;;'2017-05-24 01:59:48';Atendido;Llamada entrante;AUS1 - AUTOMOTORES;;CORDOBA;CORDOBA;AUS1-00-000001/0000-02-033918;;PR-7976 - QBE SEGUROS LA BUENO S AIRES;500683;7870554
